state,volunteers,status
Alabama,Aaron Strauss,Up-to-date
Alaska,Aaron Bycoffe,Up-to-date
Arizona,Evan Wyogle,Partial
Arkansas,Derek Willis,Up-to-date
California,"Sara Schnadt, Serdar Tumgoren",Up-to-date
Colorado,"Sandra Fish, Neal McBurnett",Up-to-date
Connecticut,Chris Hopkins,Up-to-date
Delaware,Dan Hill,Up-to-date
District of Columbia,Serdar Tumgoren,Partial
Florida,Derek Willis,Up-to-date
Georgia,"Luigi Montanez, Vijaya Somu, Darrell Speck",Up-to-date
Hawaii,Sandra Fish,Up-to-date
Idaho,Sandra Fish,Up-to-date
Illinois,Anna Novikova,Up-to-date
Indiana,Mark Schaver,Up-to-date
Iowa,Joanna Kao,Up-to-date
Kansas,Tom Meagher,Up-to-date
Kentucky,Mark Schaver,Up-to-date
Louisiana,"Joanna Kao, Serdar Tumgoren",Not Started
Maine,Jacob Fenton,Up-to-date
Maryland,"Charles Walsh, Derek Willis",Up-to-date
Massachusetts,"Andrew Thompson, Curt Woodward",Not Started
Michigan,David Tonyan,Up-to-date
Minnesota,Alan Palazzolo,Up-to-date
Mississippi,Derek Willis,Partial
Missouri,"Robert Hooks, Justin Myers",Up-to-date
Montana,Sandra Fish,Up-to-date
Nebraska,Sara Schnadt,Not Started
Nevada,Dan Hill,Up-to-date
New Hampshire,David Tonyan,Up-to-date
New Jersey,"Coulter Jones, Tom Meagher",Up-to-date
New Mexico,,Partial
New York,Eric Mill,Partial
North Carolina,Alex Duner,Partial
North Dakota,,Not Started
Ohio,"Richard Exner, Derek Willis",Up-to-date
Oklahoma,Derek Willis,Partial
Oregon,,Up-to-date
Pennsylvania,Pam Selle,Up-to-date
Rhode Island,Sara Schnadt,Up-to-date
South Carolina,Dan Hill,Up-to-date
South Dakota,Sandra Fish,Up-to-date
Tennessee,"David Morton, Daniel Murray",Up-to-date
Texas,"Chris Chang, Nolan Hicks, Ryan Murphy",Up-to-date
Utah,Derek Willis,Up-to-date
Vermont,,Partial
Virginia,"Matt Davis, Serdar Tumgoren",Partial
Washington,Suyeon Son,Partial
West Virginia,Derek Willis,Up-to-date
Wisconsin,"Erik Paulson, Allan Vestal",Partial
Wyoming,Sandra Fish,Up-to-date
